t,true_x,true_y,true_vx,true_vy,imu_ax,imu_ay,sign_x,sign_y,sign_id
34.9,361.0364,-1.6808,12.0088,-0.0498,0.5651,-0.2043,360.742,-1.611,15
35.0,362.2386,-1.6860,12.0354,-0.0533,-0.0071,-0.3849,,,
35.1,363.4435,-1.6915,12.0613,-0.0565,0.2511,0.4603,,,
35.2,364.6509,-1.6972,12.0867,-0.0594,0.4411,-0.3799,,,
35.3,365.8608,-1.7033,12.1113,-0.0621,0.3357,-0.3304,,,
35.4,367.0731,-1.7096,12.1352,-0.0644,0.5182,-0.0265,,,
35.5,368.2878,-1.7162,12.1583,-0.0664,0.6177,0.2395,,,
35.6,369.5047,-1.7229,12.1806,-0.0682,0.5285,0.4651,,,
35.7,370.7238,-1.7298,12.2020,-0.0695,0.6179,0.4301,,,
35.8,371.9451,-1.7368,12.2226,-0.0706,-0.3789,-0.1620,,,
35.9,373.1683,-1.7439,12.2422,-0.0713,-0.1013,-0.2905,,,
36.0,374.3935,-1.7510,12.2608,-0.0716,0.1049,0.3423,,,
36.1,375.6204,-1.7582,12.2785,-0.0716,0.2703,0.2316,,,
36.2,376.8491,-1.7654,12.2951,-0.0713,-0.1404,-0.0440,,,
36.3,378.0794,-1.7724,12.3106,-0.0706,0.3469,0.4328,,,
36.4,379.3112,-1.7795,12.3250,-0.0695,0.1299,-0.0922,,,
36.5,380.5443,-1.7863,12.3384,-0.0682,0.2718,-0.3725,,,
36.6,381.7788,-1.7931,12.3506,-0.0664,0.2246,-0.7966,,,
36.7,383.0144,-1.7996,12.3616,-0.0644,0.4204,-0.1131,,,
36.8,384.2511,-1.8059,12.3715,-0.0621,0.1945,-0.0400,,,
36.9,385.4886,-1.8120,12.3802,-0.0594,0.7024,0.1110,383.301,-1.698,16
37.0,386.7270,-1.8178,12.3876,-0.0565,0.1132,0.1031,,,
37.1,387.9661,-1.8233,12.3939,-0.0533,-0.5829,-0.1355,,,
37.2,389.2057,-1.8284,12.3989,-0.0498,0.1503,0.0180,,,
37.3,390.4458,-1.8332,12.4026,-0.0461,-0.0225,0.8595,,,
37.4,391.6862,-1.8376,12.4051,-0.0421,0.1928,-0.2409,,,
37.5,392.9268,-1.8417,12.4064,-0.0380,0.2337,-0.0317,,,
37.6,394.1674,-1.8452,12.4064,-0.0337,0.0055,-0.0525,,,
37.7,395.4080,-1.8484,12.4051,-0.0292,-0.0964,-0.0850,,,
37.8,396.6484,-1.8511,12.4026,-0.0245,0.1726,0.1142,,,
37.9,397.8885,-1.8533,12.3989,-0.0198,-1.0993,0.3618,,,
38.0,399.1281,-1.8550,12.3939,-0.0149,0.5155,0.3149,,,
38.1,400.3672,-1.8563,12.3876,-0.0100,-0.3622,-0.0689,,,
38.2,401.6056,-1.8570,12.3802,-0.0050,-0.0697,0.2138,,,
38.3,402.8431,-1.8573,12.3715,-0.0000,-0.3949,0.0391,,,
38.4,404.0798,-1.8570,12.3616,0.0050,0.2740,-0.0360,,,
38.5,405.3154,-1.8563,12.3506,0.0099,-0.4170,-0.1237,,,
38.6,406.5499,-1.8550,12.3384,0.0149,0.1314,0.4202,,,
38.7,407.7830,-1.8533,12.3250,0.0197,0.4872,0.5847,,,
38.8,409.0148,-1.8511,12.3106,0.0245,-0.4415,-0.3071,,,
38.9,410.2451,-1.8484,12.2951,0.0291,0.2570,0.6679,409.744,-1.819,17
39.0,411.4738,-1.8453,12.2785,0.0336,-0.2538,0.1129,,,
39.1,412.7007,-1.8417,12.2608,0.0379,0.2935,-0.2805,,,
39.2,413.9259,-1.8377,12.2422,0.0421,-0.8180,-0.1148,,,
39.3,415.1491,-1.8333,12.2226,0.0460,-0.1042,-0.0959,,,
39.4,416.3704,-1.8285,12.2020,0.0497,-0.3974,0.1581,,,
39.5,417.5895,-1.8234,12.1806,0.0532,0.1386,-0.3216,,,
39.6,418.8064,-1.8179,12.1583,0.0564,-0.2697,-0.0145,,,
39.7,420.0211,-1.8121,12.1352,0.0594,-0.1509,0.4881,,,
39.8,421.2334,-1.8060,12.1113,0.0620,0.3149,-0.1543,,,
39.9,422.4433,-1.7997,12.0867,0.0644,-0.1722,-0.2564,,,
40.0,423.6507,-1.7932,12.0613,0.0664,-0.0551,-0.4003,,,
40.1,424.8556,-1.7864,12.0354,0.0681,0.2496,0.2345,,,
40.2,426.0578,-1.7796,12.0088,0.0695,-0.7632,-0.3757,,,
40.3,427.2573,-1.7726,11.9816,0.0705,-0.3470,-0.2949,,,
40.4,428.4541,-1.7655,11.9540,0.0712,-0.0896,-0.2192,,,
40.5,429.6481,-1.7583,11.9259,0.0716,0.1747,-0.5066,,,
40.6,430.8392,-1.7512,11.8973,0.0716,-0.5872,0.5213,,,
40.7,432.0275,-1.7440,11.8684,0.0712,-0.6568,-0.3646,,,
40.8,433.2129,-1.7370,11.8392,0.0705,-0.0784,0.5454,,,
40.9,434.3954,-1.7300,11.8098,0.0695,-0.4703,0.2206,,,
41.0,435.5748,-1.7231,11.7801,0.0681,-0.3955,-0.1955,434.091,-1.895,18
41.1,436.7514,-1.7164,11.7502,0.0664,0.1058,0.4138,,,
41.2,437.9249,-1.7098,11.7203,0.0644,-0.3224,-0.1181,,,
41.3,439.0954,-1.7035,11.6903,0.0620,-0.7211,0.1317,,,
41.4,440.2630,-1.6974,11.6603,0.0594,-0.5177,-0.2334,,,
41.5,441.4275,-1.6916,11.6304,0.0564,-0.1983,0.2733,,,
41.6,442.5890,-1.6862,11.6005,0.0532,-0.6514,-0.2214,,,
41.7,443.7476,-1.6810,11.5709,0.0497,-0.0520,0.1192,,,
41.8,444.9032,-1.6762,11.5414,0.0460,0.0755,0.1963,,,
41.9,446.0559,-1.6718,11.5122,0.0421,-0.2893,-0.3862,,,
42.0,447.2057,-1.6678,11.4833,0.0379,-0.5613,-0.7162,,,
42.1,448.3526,-1.6642,11.4548,0.0336,0.3776,-0.3793,,,
42.2,449.4966,-1.6611,11.4266,0.0291,-0.2929,-0.3866,,,
42.3,450.6379,-1.6584,11.3990,0.0245,-0.3428,-0.0719,,,
42.4,451.7765,-1.6562,11.3718,0.0197,-0.3447,0.2596,,,
42.5,452.9123,-1.6545,11.3453,0.0149,-0.4724,0.0517,,,
42.6,454.0455,-1.6533,11.3193,0.0099,-0.2206,0.4273,,,
42.7,455.1762,-1.6525,11.2939,0.0050,-0.5197,-0.3099,,,
42.8,456.3044,-1.6523,11.2693,-0.0000,-0.2809,-0.3083,,,
42.9,457.4301,-1.6525,11.2454,-0.0050,-0.2758,0.3983,,,
43.0,458.5535,-1.6533,11.2223,-0.0100,0.1125,-0.1072,,,
43.1,459.6746,-1.6545,11.2000,-0.0149,-0.1448,0.4869,,,
43.2,460.7935,-1.6562,11.1786,-0.0198,0.2901,-0.7782,460.711,-1.764,19
43.3,461.9104,-1.6585,11.1580,-0.0245,0.4477,0.1789,,,
43.4,463.0252,-1.6611,11.1384,-0.0292,-0.0073,0.0927,,,
43.5,464.1381,-1.6643,11.1198,-0.0337,-0.2299,0.0832,,,
43.6,465.2492,-1.6679,11.1022,-0.0380,-0.1425,-0.0148,,,
43.7,466.3586,-1.6719,11.0856,-0.0421,-0.0605,-0.4715,,,
43.8,467.4664,-1.6763,11.0700,-0.0461,0.5933,-0.3445,,,
43.9,468.5726,-1.6811,11.0556,-0.0498,0.0398,-0.5118,,,
44.0,469.6775,-1.6862,11.0422,-0.0533,-0.1014,0.4120,,,
44.1,470.7811,-1.6917,11.0300,-0.0565,-0.4640,0.3677,,,
44.2,471.8836,-1.6975,11.0190,-0.0594,-0.2280,0.0907,,,
44.3,472.9850,-1.7036,11.0091,-0.0621,-0.0387,0.5789,,,
44.4,474.0855,-1.7099,11.0004,-0.0644,-0.3608,-0.1516,,,
44.5,475.1851,-1.7165,10.9930,-0.0664,-0.5518,-0.8223,,,
44.6,476.2841,-1.7232,10.9867,-0.0682,-0.0344,-0.5072,,,
44.7,477.3825,-1.7301,10.9817,-0.0695,-0.2650,0.9159,,,
44.8,478.4805,-1.7371,10.9780,-0.0706,0.2031,-0.1401,,,
44.9,479.5782,-1.7442,10.9755,-0.0713,0.3883,-0.3296,,,
45.0,480.6757,-1.7513,10.9742,-0.0716,-0.0520,0.4412,,,
