t,x,y,theta,v,omega,v_meas,omega_meas,gnss_x,gnss_y
36.2,243.671,207.685,0.16000,9.079,0.00000,8.674,-0.01133,,
36.3,244.567,207.829,0.16000,9.062,0.00000,8.846,0.01245,,
36.4,245.461,207.974,0.16000,9.044,0.00000,9.031,-0.00044,,
36.5,246.354,208.118,0.16000,9.026,0.00000,8.838,0.01196,,
36.6,247.245,208.262,0.16000,9.009,0.00000,9.069,-0.02967,,
36.7,248.135,208.405,0.16000,8.992,0.00000,9.160,-0.01061,,
36.8,249.023,208.549,0.16000,8.974,0.00000,9.022,-0.01597,,
36.9,249.908,208.691,0.16000,8.957,0.00000,8.921,-0.02326,,
37.0,250.793,208.834,0.16000,8.940,0.00000,8.512,-0.00893,250.012,208.080
37.1,251.675,208.977,0.16000,8.923,0.00000,8.531,-0.02142,,
37.2,252.556,209.119,0.16000,8.907,0.00000,8.828,-0.01399,,
37.3,253.436,209.261,0.16000,8.890,0.00000,8.793,-0.00131,,
37.4,254.313,209.402,0.16000,8.873,0.00000,9.328,-0.00382,,
37.5,255.189,209.544,0.16000,8.857,0.00000,8.895,-0.03605,,
37.6,256.064,209.685,0.16000,8.841,0.00000,8.690,-0.00561,,
37.7,256.936,209.826,0.16000,8.824,0.00000,8.529,-0.02888,,
37.8,257.808,209.966,0.16000,8.808,0.00000,9.090,-0.01449,,
37.9,258.677,210.107,0.16000,8.792,0.00000,8.705,-0.01439,,
38.0,259.545,210.247,0.16000,8.776,0.00000,9.039,-0.01821,260.414,210.753
38.1,260.412,210.386,0.16000,8.761,0.00000,9.227,-0.02150,,
38.2,261.276,210.526,0.16000,8.745,0.00000,9.033,-0.04978,,
38.3,262.140,210.665,0.16000,8.729,0.00000,8.695,-0.00133,,
38.4,263.001,210.804,0.16000,8.714,0.00000,8.632,-0.01359,,
38.5,263.862,210.943,0.16000,8.699,0.00000,8.230,0.00389,,
38.6,264.721,211.082,0.16000,8.684,0.00000,9.022,0.01900,,
38.7,265.578,211.220,0.16000,8.669,0.00000,9.424,0.01999,,
38.8,266.434,211.358,0.16000,8.654,0.00000,8.714,0.03149,,
38.9,267.288,211.496,0.16000,8.639,0.00000,8.563,-0.02729,,
39.0,268.141,211.634,0.16000,8.624,0.00000,8.395,-0.01867,271.976,209.711
39.1,268.992,211.771,0.16000,8.610,0.00000,8.399,-0.00184,,
39.2,269.842,211.908,0.16000,8.596,0.00000,9.311,-0.02853,,
39.3,270.691,212.045,0.16000,8.582,0.00000,8.254,-0.03417,,
39.4,271.538,212.182,0.16000,8.568,0.00000,8.840,-0.03580,,
39.5,272.384,212.319,0.16000,8.554,0.00000,8.822,-0.00784,,
39.6,273.228,212.455,0.16000,8.540,0.00000,7.919,-0.00250,,
39.7,274.071,212.591,0.16000,8.526,0.00000,8.324,0.00882,,
39.8,274.913,212.727,0.16000,8.513,0.00000,8.572,0.02427,,
39.9,275.753,212.862,0.16000,8.500,0.00000,8.665,-0.00297,,
40.0,276.593,212.998,0.16000,8.486,0.00000,8.601,0.01801,275.071,212.327
40.1,277.430,213.133,0.16000,8.473,0.00503,8.261,0.00085,,
40.2,278.267,213.268,0.16050,8.461,0.01004,8.851,0.00681,,
40.3,279.102,213.403,0.16151,8.448,0.01504,8.824,0.02643,,
40.4,279.936,213.539,0.16301,8.435,0.02001,8.192,0.00211,,
40.5,280.768,213.676,0.16501,8.423,0.02495,7.858,0.01929,,
40.6,281.599,213.814,0.16751,8.411,0.02984,8.354,0.05592,,
40.7,282.428,213.955,0.17049,8.399,0.03468,8.232,0.04992,,
40.8,283.256,214.097,0.17396,8.387,0.03946,8.153,0.06064,,
40.9,284.082,214.242,0.17791,8.375,0.04417,8.242,0.05669,,
41.0,284.906,214.390,0.18232,8.363,0.04881,8.592,0.05342,284.727,216.884
41.1,285.729,214.542,0.18720,8.352,0.05336,8.465,0.05523,,
41.2,286.549,214.697,0.19254,8.341,0.05781,8.556,0.05910,,
41.3,287.368,214.857,0.19832,8.330,0.06216,8.249,0.04867,,
41.4,288.185,215.021,0.20454,8.319,0.06641,7.473,0.05143,,
41.5,288.999,215.190,0.21118,8.308,0.07053,8.250,0.07110,,
41.6,289.812,215.364,0.21823,8.297,0.07454,8.674,0.07319,,
41.7,290.622,215.544,0.22569,8.287,0.07841,7.850,0.07057,,
41.8,291.429,215.729,0.23353,8.277,0.08215,8.812,0.06910,,
41.9,292.235,215.921,0.24174,8.267,0.08574,8.218,0.08852,,
42.0,293.037,216.119,0.25031,8.257,0.08918,8.539,0.12340,295.074,212.907
42.1,293.837,216.323,0.25923,8.247,0.09246,8.189,0.09490,,
42.2,294.634,216.535,0.26848,8.238,0.09558,8.009,0.10788,,
42.3,295.429,216.753,0.27804,8.228,0.09854,8.266,0.07456,,
42.4,296.220,216.979,0.28789,8.219,0.10132,8.597,0.10121,,
42.5,297.008,217.212,0.29802,8.210,0.10392,8.052,0.13848,,
42.6,297.793,217.454,0.30841,8.201,0.10634,8.519,0.12867,,
42.7,298.574,217.702,0.31905,8.193,0.10858,7.862,0.12409,,
42.8,299.352,217.959,0.32991,8.184,0.11062,8.505,0.09226,,
42.9,300.126,218.225,0.34097,8.176,0.11247,8.825,0.10199,,
43.0,300.897,218.498,0.35222,8.168,0.11413,8.079,0.12066,305.642,221.009
43.1,301.663,218.780,0.36363,8.160,0.11558,8.044,0.11169,,
43.2,302.426,219.070,0.37519,8.152,0.11683,7.850,0.10764,,
43.3,303.185,219.369,0.38687,8.144,0.11787,8.318,0.10135,,
43.4,303.939,219.676,0.39866,8.137,0.11871,8.157,0.08820,,
43.5,304.689,219.992,0.41053,8.130,0.11934,8.490,0.11360,,
43.6,305.434,220.316,0.42246,8.123,0.11976,8.145,0.09869,,
43.7,306.175,220.649,0.43444,8.116,0.11997,8.176,0.10369,,
43.8,306.911,220.991,0.44644,8.109,0.11997,8.125,0.13666,,
43.9,307.643,221.341,0.45843,8.103,0.11976,7.622,0.12058,,
44.0,308.369,221.700,0.47041,8.097,0.11934,7.936,0.11373,308.323,223.159
44.1,309.091,222.067,0.48234,8.091,0.11871,7.899,0.15556,,
44.2,309.808,222.442,0.49422,8.085,0.11787,7.792,0.12533,,
44.3,310.520,222.825,0.50600,8.079,0.11683,7.984,0.11048,,
44.4,311.226,223.217,0.51769,8.074,0.11558,8.393,0.08876,,
44.5,311.928,223.617,0.52924,8.068,0.11413,8.027,0.11792,,
44.6,312.624,224.024,0.54066,8.063,0.11247,7.940,0.12784,,
44.7,313.316,224.439,0.55190,8.058,0.11062,8.378,0.14366,,
44.8,314.002,224.861,0.56297,8.054,0.10858,8.638,0.11094,,
44.9,314.683,225.291,0.57382,8.049,0.10634,7.414,0.08846,,
45.0,315.359,225.728,0.58446,8.045,0.10392,7.694,0.11239,314.614,225.044
45.1,316.030,226.172,0.59485,8.041,0.10132,8.359,0.08904,,
45.2,316.696,226.623,0.60498,8.037,0.09854,7.997,0.07212,,
45.3,317.357,227.080,0.61484,8.033,0.09558,8.066,0.10953,,
45.4,318.013,227.543,0.62440,8.030,0.09246,8.081,0.06965,,
45.5,318.665,228.013,0.63364,8.026,0.08918,7.663,0.11605,,
45.6,319.311,228.488,0.64256,8.023,0.08574,7.426,0.09312,,
45.7,319.954,228.969,0.65113,8.020,0.08215,8.432,0.09517,,
45.8,320.592,229.455,0.65935,8.018,0.07841,8.267,0.13885,,
45.9,321.225,229.946,0.66719,8.015,0.07454,7.763,0.06918,,
46.0,321.855,230.442,0.67464,8.013,0.07053,7.862,0.08930,322.832,229.706
46.1,322.481,230.942,0.68170,8.010,0.06641,7.781,0.06473,,
46.2,323.103,231.447,0.68834,8.009,0.06216,8.044,0.05602,,
46.3,323.721,231.956,0.69455,8.007,0.05781,8.226,0.05736,,
46.4,324.336,232.468,0.70033,8.005,0.05336,7.932,0.04567,,
46.5,324.949,232.984,0.70567,8.004,0.04881,8.151,0.04168,,
46.6,325.558,233.503,0.71055,8.003,0.04417,7.888,0.05376,,
46.7,326.164,234.025,0.71497,8.002,0.03946,7.255,0.06117,,
46.8,326.769,234.550,0.71891,8.001,0.03468,8.294,0.01527,,
46.9,327.371,235.077,0.72238,8.001,0.02984,8.429,0.03563,,
47.0,327.971,235.606,0.72537,8.000,0.02495,8.114,0.05051,327.185,235.129
47.1,328.570,236.136,0.72786,8.000,0.02001,8.027,0.03694,,
47.2,329.167,236.669,0.72986,8.000,0.01504,7.941,0.06281,,
47.3,329.763,237.202,0.73137,8.000,0.01004,7.936,0.00739,,
47.4,330.358,237.736,0.73237,8.001,0.00503,7.549,0.03305,,
47.5,330.953,238.271,0.73287,8.001,0.00000,7.860,-0.01223,,
47.6,331.548,238.807,0.73287,8.002,-0.00503,7.706,-0.00125,,
47.7,332.143,239.342,0.73237,8.003,-0.01004,8.250,0.03923,,
47.8,332.738,239.877,0.73137,8.005,-0.01504,7.249,-0.01846,,
47.9,333.334,240.412,0.72986,8.006,-0.02001,7.997,-0.02249,,
48.0,333.930,240.946,0.72786,8.008,-0.02495,7.771,-0.04888,336.576,242.909
48.1,334.528,241.478,0.72537,8.010,-0.02984,8.069,-0.03732,,
48.2,335.128,242.010,0.72238,8.012,-0.03468,8.620,-0.02728,,
48.3,335.729,242.539,0.71891,8.014,-0.03946,8.150,-0.01356,,
48.4,336.332,243.067,0.71497,8.016,-0.04417,7.599,-0.02970,,
48.5,336.937,243.593,0.71055,8.019,-0.04881,7.635,-0.01183,,
48.6,337.545,244.116,0.70567,8.022,-0.05336,7.812,-0.08514,,
48.7,338.155,244.636,0.70033,8.025,-0.05781,8.072,-0.04500,,
48.8,338.769,245.153,0.69455,8.028,-0.06216,7.588,-0.04775,,
48.9,339.386,245.667,0.68834,8.031,-0.06641,7.941,-0.06942,,
49.0,340.006,246.177,0.68170,8.035,-0.07053,7.391,-0.09266,343.428,246.007
49.1,340.630,246.684,0.67464,8.039,-0.07454,8.333,-0.07214,,
49.2,341.258,247.186,0.66719,8.043,-0.07841,8.334,-0.05921,,
49.3,341.890,247.683,0.65935,8.047,-0.08215,7.923,-0.09206,,
49.4,342.526,248.176,0.65113,8.052,-0.08574,8.098,-0.06977,,
49.5,343.166,248.664,0.64256,8.056,-0.08918,8.642,-0.09144,,
49.6,343.811,249.147,0.63364,8.061,-0.09246,8.402,-0.10426,,
49.7,344.461,249.624,0.62440,8.066,-0.09558,8.147,-0.11393,,
49.8,345.115,250.096,0.61484,8.071,-0.09854,8.016,-0.07772,,
49.9,345.774,250.561,0.60498,8.077,-0.10132,8.048,-0.07032,,
50.0,346.439,251.021,0.59485,8.082,-0.10392,7.957,-0.12806,342.579,251.823
50.1,347.108,251.474,0.58446,8.088,-0.10634,8.184,-0.11883,,
50.2,347.783,251.920,0.57382,8.094,-0.10858,8.311,-0.09169,,
50.3,348.462,252.359,0.56297,8.100,-0.11062,7.978,-0.11184,,
50.4,349.147,252.792,0.55190,8.106,-0.11247,8.279,-0.08800,,
50.5,349.838,253.217,0.54066,8.113,-0.11413,8.473,-0.12076,,
50.6,350.533,253.634,0.52924,8.120,-0.11558,8.082,-0.13041,,
50.7,351.234,254.044,0.51769,8.127,-0.11683,7.677,-0.12736,,
50.8,351.940,254.446,0.50600,8.134,-0.11787,8.031,-0.11993,,
50.9,352.652,254.841,0.49422,8.141,-0.11871,8.076,-0.11066,,
51.0,353.368,255.227,0.48234,8.148,-0.11934,8.149,-0.12193,355.344,257.391
51.1,354.090,255.605,0.47041,8.156,-0.11976,7.700,-0.11295,,
51.2,354.817,255.974,0.45843,8.164,-0.11997,8.261,-0.15150,,
51.3,355.549,256.336,0.44644,8.172,-0.11997,8.034,-0.11460,,
51.4,356.286,256.688,0.43444,8.180,-0.11976,8.617,-0.08603,,
51.5,357.028,257.033,0.42246,8.188,-0.11934,8.418,-0.13736,,
51.6,357.775,257.369,0.41053,8.197,-0.11871,7.749,-0.13184,,
51.7,358.527,257.696,0.39866,8.206,-0.11787,8.050,-0.16611,,
51.8,359.283,258.014,0.38687,8.215,-0.11683,8.136,-0.13926,,
51.9,360.044,258.324,0.37519,8.224,-0.11558,8.206,-0.11595,,
52.0,360.809,258.625,0.36363,8.233,-0.11413,7.944,-0.12766,360.902,258.509
52.1,361.579,258.918,0.35222,8.243,-0.11247,8.353,-0.13347,,
52.2,362.352,259.203,0.34097,8.252,-0.11062,7.914,-0.09681,,
52.3,363.130,259.479,0.32991,8.262,-0.10858,8.216,-0.09755,,
52.4,363.912,259.746,0.31905,8.272,-0.10634,8.491,-0.10852,,
52.5,364.697,260.006,0.30841,8.282,-0.10392,8.657,-0.10905,,
52.6,365.486,260.257,0.29802,8.292,-0.10132,8.339,-0.12847,,
52.7,366.279,260.501,0.28789,8.303,-0.09854,7.877,-0.12161,,
52.8,367.075,260.736,0.27804,8.314,-0.09558,8.708,-0.06295,,
52.9,367.874,260.965,0.26848,8.324,-0.09246,8.154,-0.09965,,
53.0,368.677,261.185,0.25923,8.335,-0.08918,8.601,-0.09883,367.966,260.043
53.1,369.483,261.399,0.25031,8.347,-0.08574,8.602,-0.05620,,
53.2,370.291,261.606,0.24174,8.358,-0.08215,8.686,-0.05878,,
53.3,371.103,261.806,0.23353,8.369,-0.07841,8.519,-0.06204,,
53.4,371.917,262.000,0.22569,8.381,-0.07454,8.303,-0.09260,,
53.5,372.734,262.187,0.21823,8.393,-0.07053,8.343,-0.05341,,
53.6,373.553,262.369,0.21118,8.405,-0.06641,8.831,-0.05657,,
53.7,374.375,262.545,0.20454,8.417,-0.06216,8.070,-0.07050,,
53.8,375.199,262.716,0.19832,8.429,-0.05781,8.230,-0.08827,,
53.9,376.026,262.882,0.19254,8.442,-0.05336,8.961,-0.05568,,
54.0,376.854,263.044,0.18720,8.454,-0.04881,8.484,-0.03712,374.463,264.321
54.1,377.685,263.201,0.18232,8.467,-0.04417,8.577,-0.02710,,
54.2,378.518,263.354,0.17791,8.480,-0.03946,8.365,-0.04899,,
54.3,379.352,263.505,0.17396,8.493,-0.03468,8.585,-0.01082,,
54.4,380.189,263.652,0.17049,8.506,-0.02984,8.416,0.01889,,
54.5,381.027,263.796,0.16751,8.520,-0.02495,8.505,-0.04244,,
54.6,381.867,263.938,0.16501,8.533,-0.02001,8.801,-0.05164,,
54.7,382.709,264.078,0.16301,8.547,-0.01504,8.186,-0.02955,,
54.8,383.552,264.217,0.16151,8.561,-0.01004,9.076,-0.00955,,
54.9,384.397,264.354,0.16050,8.575,-0.00503,8.669,-0.00792,,
55.0,385.244,264.491,0.16000,8.589,0.00000,8.328,0.02604,384.037,261.115
55.1,386.092,264.628,0.16000,8.603,0.00000,8.717,0.00260,,
55.2,386.941,264.765,0.16000,8.618,0.00000,8.420,-0.00273,,
55.3,387.792,264.903,0.16000,8.632,0.00000,8.857,-0.02429,,
55.4,388.644,265.040,0.16000,8.647,0.00000,8.713,-0.00399,,
55.5,389.498,265.178,0.16000,8.662,0.00000,8.977,0.02286,,
55.6,390.353,265.316,0.16000,8.676,0.00000,8.917,0.00281,,
55.7,391.209,265.454,0.16000,8.692,0.00000,8.890,-0.00765,,
55.8,392.067,265.593,0.16000,8.707,0.00000,8.643,-0.05422,,
55.9,392.927,265.731,0.16000,8.722,0.00000,8.886,-0.03854,,
56.0,393.788,265.870,0.16000,8.737,0.00000,8.898,0.00804,394.036,265.471
56.1,394.650,266.010,0.16000,8.753,0.00000,9.047,0.02218,,
56.2,395.515,266.149,0.16000,8.769,0.00000,9.302,0.01996,,
56.3,396.380,266.289,0.16000,8.785,0.00000,9.006,-0.00285,,
56.4,397.247,266.429,0.16000,8.801,0.00000,8.641,-0.00210,,
56.5,398.116,266.569,0.16000,8.817,0.00000,8.821,0.03409,,
56.6,398.987,266.709,0.16000,8.833,0.00000,8.259,-0.00508,,
56.7,399.859,266.850,0.16000,8.849,0.00000,8.891,0.00918,,
56.8,400.732,266.991,0.16000,8.865,0.00000,8.978,0.01567,,
56.9,401.608,267.132,0.16000,8.882,0.00000,9.465,-0.03850,,
57.0,402.484,267.274,0.16000,8.899,0.00000,9.050,-0.00835,400.019,269.012
57.1,403.363,267.416,0.16000,8.915,0.00000,9.395,-0.03680,,
57.2,404.243,267.558,0.16000,8.932,0.00000,8.471,-0.01169,,
57.3,405.125,267.700,0.16000,8.949,0.00000,8.765,-0.01007,,
57.4,406.008,267.842,0.16000,8.966,0.00000,8.118,0.02072,,
57.5,406.894,267.985,0.16000,8.983,0.00000,9.236,-0.00271,,
57.6,407.780,268.128,0.16000,9.001,0.00000,9.656,0.00067,,
57.7,408.669,268.272,0.16000,9.018,0.00000,9.432,-0.00464,,
57.8,409.559,268.415,0.16000,9.036,0.00000,8.803,-0.00176,,
57.9,410.451,268.559,0.16000,9.053,0.00000,9.282,0.01312,,
58.0,411.345,268.704,0.16000,9.071,0.00000,9.437,-0.03130,411.940,268.885
58.1,412.240,268.848,0.16000,9.089,0.00000,9.043,-0.00247,,
58.2,413.138,268.993,0.16000,9.106,0.00000,9.369,-0.00834,,
58.3,414.037,269.138,0.16000,9.124,0.00000,8.903,0.00714,,
58.4,414.938,269.283,0.16000,9.142,0.00000,9.122,0.00876,,
58.5,415.840,269.429,0.16000,9.160,0.00000,9.101,0.01564,,
58.6,416.744,269.575,0.16000,9.179,0.00000,8.554,-0.01935,,
58.7,417.651,269.721,0.16000,9.197,0.00000,9.680,-0.01376,,
58.8,418.559,269.868,0.16000,9.215,0.00000,8.580,0.00659,,
58.9,419.468,270.015,0.16000,9.234,0.00000,8.872,0.02210,,
59.0,420.380,270.162,0.16000,9.252,0.00000,9.333,-0.00374,420.943,267.802
59.1,421.293,270.309,0.16000,9.271,0.00000,9.368,0.01238,,
59.2,422.209,270.457,0.16000,9.289,0.00000,9.530,-0.02723,,
59.3,423.126,270.605,0.16000,9.308,0.00000,9.023,-0.02095,,
59.4,424.045,270.753,0.16000,9.327,0.00000,9.587,0.00742,,
59.5,424.965,270.902,0.16000,9.346,0.00000,8.647,-0.00200,,
59.6,425.888,271.051,0.16000,9.365,0.00000,9.246,0.00200,,
59.7,426.812,271.200,0.16000,9.384,0.00000,9.107,0.00408,,
59.8,427.739,271.349,0.16000,9.403,0.00000,8.981,0.03187,,
59.9,428.667,271.499,0.16000,9.422,0.00000,9.763,-0.00805,,
60.0,429.597,271.649,0.16000,9.441,0.00000,9.428,0.02737,430.784,271.124
